taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
6065;2016-12-01T02:30;60;0.0;8.0;0.0;bankkártya
5243;2016-12-01T09:15;480;0.0;6.75;0.0;készpénz
5114;2016-12-01T09:30;420;0.0;6.0;2.0;bankkártya
2118;2016-12-01T20:45;780;0.0;11.75;0.0;bankkártya
4531;2016-12-01T21:15;540;0.0;7.25;0.0;készpénz
6535;2016-12-01T21:30;840;0.0;8.0;0.0;készpénz
710;2016-12-01T21:45;360;0.0;6.25;0.0;készpénz
2643;2016-12-01T23:45;180;0.0;4.25;0.0;készpénz
7939;2016-12-02T04:15;300;0.0;5.75;0.0;készpénz
2863;2016-12-02T07:45;360;0.0;6.75;1.0;bankkártya
5400;2016-12-02T09:30;780;0.0;9.25;0.0;készpénz
6197;2016-12-02T13:30;60;0.0;3.25;0.0;készpénz
4044;2016-12-02T13:45;960;0.0;11.0;0.0;készpénz
1026;2016-12-02T15:45;300;0.0;5.5;0.0;készpénz
3773;2016-12-02T16:00;420;0.0;6.0;0.0;készpénz
569;2016-12-02T17:00;180;0.0;4.5;2.0;bankkártya
6078;2016-12-02T17:00;540;0.0;7.0;2.0;bankkártya
3449;2016-12-02T17:15;60;0.0;3.25;0.0;készpénz
4611;2016-12-02T19:00;600;0.0;7.5;0.0;készpénz
6562;2016-12-02T20:00;240;0.0;5.25;0.0;készpénz
1901;2016-12-02T21:45;60;0.0;3.25;0.0;készpénz
1322;2016-12-02T23:15;600;0.0;8.0;2.0;bankkártya
5628;2016-12-03T00:30;420;0.0;6.75;0.0;készpénz
3163;2016-12-03T00:45;420;0.0;10.25;0.0;készpénz
5857;2016-12-03T02:00;540;0.0;8.0;0.0;készpénz
8709;2016-12-03T08:30;180;0.0;5.25;0.0;készpénz
8117;2016-12-03T14:45;420;0.0;6.5;1.0;bankkártya
1827;2016-12-03T15:45;360;0.0;6.25;0.0;készpénz
7011;2016-12-03T16:30;1260;0.0;13.75;0.0;készpénz
6898;2016-12-03T19:00;1980;0.0;16.5;0.0;készpénz
4770;2016-12-03T19:15;900;0.0;14.25;0.0;készpénz
3793;2016-12-03T20:00;1200;0.0;13.75;0.0;készpénz
2697;2016-12-03T21:45;180;0.0;4.0;0.0;készpénz
3360;2016-12-04T01:00;240;0.0;4.75;0.0;készpénz
5659;2016-12-04T02:00;120;0.0;4.75;0.0;készpénz
1523;2016-12-04T02:00;300;0.0;3.5;0.0;készpénz
686;2016-12-04T14:30;120;0.0;4.0;1.0;bankkártya
1098;2016-12-04T15:45;600;0.0;9.5;0.0;készpénz
3637;2016-12-04T19:15;300;0.0;5.5;0.0;készpénz
1319;2016-12-04T19:30;600;0.0;8.0;0.0;készpénz
7748;2016-12-04T20:15;180;0.0;5.5;1.0;bankkártya
5901;2016-12-05T06:45;660;0.0;13.75;3.4;bankkártya
1901;2016-12-05T09:00;240;0.0;4.75;0.0;készpénz
1030;2016-12-05T09:30;180;0.0;4.75;2.0;bankkártya
3721;2016-12-05T14:45;240;0.0;4.75;0.0;készpénz
8289;2016-12-05T21:00;780;0.0;12.25;0.0;ingyenes
2330;2016-12-06T09:00;360;0.0;5.5;0.0;készpénz
